year,quarter,region,market_final,channel,viewability_percentage,unsafe_percentage,total_fraud_precentage
2019,Q4,Western Europe,Belgium,Mobile in app,42.00%,7.20%,1.30%
2019,Q4,Western Europe,Belgium,Video,76.00%,8.00%,0.90%
2019,Q4,Western Europe,Denmark,Display,54.00%,5.50%,5.70%
2019,Q4,Western Europe,Denmark,Mobile in app,34.00%,7.20%,6.00%
2019,Q4,Western Europe,Denmark,Video,64.00%,8.00%,2.30%
2019,Q4,Western Europe,Finland,Display,51.00%,5.50%,8.50%
2019,Q4,Western Europe,Finland,Mobile in app,41.00%,7.20%,11.40%
2019,Q4,Western Europe,Finland,Video,67.00%,8.00%,2.90%
2019,Q4,Western Europe,France,Display,51.00%,6.40%,5.50%
2019,Q4,Western Europe,France,Mobile in app,50.00%,3.70%,8.80%
2019,Q4,Western Europe,France,Video,68.00%,8.70%,2.30%
2019,Q4,Western Europe,Germany,Display,56.00%,2.40%,2.50%
2019,Q4,Western Europe,Germany,Mobile in app,61.00%,6.50%,1.40%
2019,Q4,Western Europe,Germany,Video,73.00%,6.20%,1.50%
2019,Q4,Western Europe,Ireland,Display,55.00%,5.50%,5.10%
2019,Q4,Western Europe,Ireland,Mobile in app,31.00%,7.20%,6.30%
2019,Q4,Western Europe,Ireland,Video,66.00%,8.00%,5.40%
2019,Q4,Western Europe,Italy,Display,47.00%,5.90%,1.80%
2019,Q4,Western Europe,Italy,Mobile in app,66.00%,3.30%,1.80%
2019,Q4,Western Europe,Italy,Video,78.00%,8.90%,1.10%
2019,Q4,Western Europe,Netherlands,Display,57.00%,10.40%,3.60%
2019,Q4,Western Europe,Netherlands,Mobile in app,47.00%,17.30%,6.10%
2019,Q4,Western Europe,Netherlands,Video,71.00%,5.70%,2.30%
2019,Q4,Western Europe,Norway,Display,53.00%,5.50%,12.10%
2019,Q4,Western Europe,Norway,Mobile in app,31.00%,7.20%,10.90%
2019,Q4,Western Europe,Norway,Video,68.00%,8.00%,4.00%
2019,Q4,Western Europe,Portugal,Display,61.00%,5.50%,3.50%
2019,Q4,Western Europe,Portugal,Mobile in app,61.00%,7.20%,1.10%
2019,Q4,Western Europe,Portugal,Video,75.00%,8.00%,1.20%
2019,Q4,Western Europe,Spain,Display,52.00%,3.50%,2.20%
2019,Q4,Western Europe,Spain,Mobile in app,65.00%,4.20%,0.70%
2019,Q4,Western Europe,Spain,Video,77.00%,7.20%,1.10%
2019,Q4,Western Europe,Sweden,Display,57.00%,2.80%,3.10%
2019,Q4,Western Europe,Sweden,Mobile in app,49.00%,0.30%,3.00%
